Kentucky ,.9783,118.4,85.0,+.061,.6641
Arizona ,.9664,115.5,86.3,-.034,.6390
Virginia ,.9627,112.5,84.8,+.048,.6681
Wisconsin ,.9591,123.1,93.5,+.009,.6962
Villanova ,.9567,121.7,93.0,+.038,.6682
Gonzaga ,.9445,119.5,93.4,+.013,.5969
Duke ,.9407,122.9,96.7,+.082,.6966
Utah ,.9272,112.5,90.2,-.041,.6509
Kansas ,.9120,112.4,91.7,+.093,.7916
Oklahoma ,.9120,109.5,89.4,-.033,.7371
Baylor ,.9111,116.5,95.2,-.011,.7300
Northern Iowa ,.9084,113.9,93.3,+.010,.5154
North Carolina ,.9055,114.4,94.0,-.036,.7576
Wichita St. ,.9054,113.0,92.9,+.018,.5473
Iowa St. ,.8996,118.4,97.9,-.007,.7116
Notre Dame ,.8945,121.6,101.0,+.051,.5635
Louisville ,.8779,106.1,89.4,+.027,.6915
Ohio St. ,.8771,111.9,94.3,-.052,.6079
Texas ,.8754,109.9,92.7,-.057,.7111
Michigan St. ,.8732,113.4,95.9,-.067,.6632
Georgetown ,.8723,110.6,93.6,+.007,.7224
Butler ,.8703,108.2,91.7,-.001,.6795
SMU ,.8644,111.9,95.3,+.004,.5684
Davidson ,.8643,119.0,101.3,+.021,.5649
Iowa ,.8606,111.4,95.1,-.003,.6675
West Virginia ,.8581,111.0,95.0,+.050,.7136
Xavier ,.8528,112.7,96.8,-.096,.7022
San Diego St. ,.8470,101.8,87.8,+.022,.5644
Providence ,.8421,110.6,95.6,+.060,.7203
BYU ,.8412,116.8,101.1,-.042,.6143
Maryland ,.8310,108.4,94.4,+.145,.6394
Arkansas ,.8309,113.0,98.4,+.037,.6188
Cincinnati ,.8296,106.5,92.8,-.013,.5629
North Carolina St. ,.8291,111.9,97.5,-.039,.6840
Oklahoma St. ,.8290,110.4,96.3,-.034,.7340
Boise St. ,.8267,110.3,96.3,+.043,.5204
Georgia ,.8226,107.0,93.7,+.011,.6975
VCU ,.8198,106.4,93.3,+.047,.6613
Vanderbilt ,.8184,113.0,99.2,-.102,.6253
Dayton ,.8134,106.7,93.9,+.019,.5502
LSU ,.8129,107.5,94.6,-.014,.6177
Stephen F. Austin ,.8122,112.4,99.0,+.028,.3936
Mississippi ,.8071,114.3,100.9,-.041,.6586
Florida ,.8060,103.5,91.5,-.117,.7267
Stanford ,.8043,111.5,98.6,-.048,.6571
St. John's ,.8043,108.0,95.5,+.058,.6846
UCLA ,.7999,109.9,97.4,+.039,.6713
Purdue ,.7933,108.1,96.2,-.007,.6367
Oregon ,.7927,112.2,99.8,+.098,.6176
Richmond ,.7878,105.8,94.4,-.068,.5916
Temple ,.7849,101.3,90.5,+.075,.5702
Texas A&M ,.7843,106.0,94.7,-.006,.6377
Indiana ,.7843,116.8,104.4,-.020,.6241
Miami FL ,.7804,109.6,98.2,+.012,.6457
TCU ,.7695,105.8,95.2,-.080,.6109
Buffalo ,.7684,109.4,98.5,-.001,.5717
Rhode Island ,.7664,102.1,92.1,+.012,.5379
Minnesota ,.7633,110.3,99.6,-.090,.6408
Colorado St. ,.7582,110.0,99.6,+.099,.4904
Alabama ,.7572,108.4,98.2,-.019,.6866
South Carolina ,.7565,103.3,93.6,-.060,.6967
Illinois St. ,.7544,106.4,96.5,-.039,.5724
Syracuse ,.7536,103.0,93.5,-.024,.6704
Connecticut ,.7529,106.7,96.8,-.070,.5923
Valparaiso ,.7529,103.9,94.3,+.070,.4413
Old Dominion ,.7508,105.1,95.5,+.037,.4542
Illinois ,.7479,104.2,94.8,-.028,.6423
Saint Mary's ,.7456,108.6,98.9,+.034,.5682
Green Bay ,.7397,102.3,93.4,+.036,.5075
Georgia St. ,.7396,109.3,99.8,-.029,.4421
Arizona St. ,.7386,107.6,98.3,-.033,.6417
Louisiana Tech ,.7360,106.2,97.2,+.020,.4437
Tulsa ,.7344,101.8,93.2,+.099,.5587
Yale ,.7305,104.6,95.9,+.047,.5381
Sam Houston St. ,.7283,99.9,91.7,-.050,.3409
George Washington ,.7275,106.1,97.4,+.015,.5613
Murray St. ,.7263,113.1,103.9,+.098,.4008
Michigan ,.7083,107.5,99.6,-.004,.7003
Harvard ,.7050,101.7,94.3,+.104,.4962
Pittsburgh ,.7023,112.9,104.8,+.023,.6634
Kansas St. ,.6938,103.3,96.2,+.009,.7332
Penn St. ,.6883,102.0,95.2,+.014,.6488
Creighton ,.6851,108.5,101.4,-.075,.6595
Memphis ,.6838,102.5,95.9,-.020,.5542
UC Davis ,.6760,110.8,104.0,+.067,.4127
Clemson ,.6746,101.5,95.3,+.010,.6550
Toledo ,.6741,111.6,104.7,-.029,.5464
Akron ,.6714,103.8,97.6,-.048,.4698
Central Michigan ,.6697,111.7,105.0,+.039,.4435
Wofford ,.6691,103.5,97.4,+.141,.4191
UTEP ,.6689,104.6,98.4,+.009,.4644
North Carolina Central ,.6652,101.6,95.7,+.061,.2878
Georgia Tech ,.6638,100.2,94.4,-.070,.6959
New Mexico St. ,.6636,103.4,97.5,-.063,.3555
Colorado ,.6600,104.1,98.3,-.032,.6552
Bowling Green ,.6567,104.7,98.9,-.024,.4766
Tennessee ,.6552,107.2,101.4,+.030,.6778
San Diego ,.6532,101.5,96.0,-.076,.6040
Cleveland St. ,.6521,105.4,99.8,-.083,.5223
UNLV ,.6519,105.8,100.1,-.015,.5712
La Salle ,.6405,98.3,93.4,-.003,.6135
